Unnamed: 0.1,Unnamed: 0,anchor_group_name,legacy_lookup_status,legacy_conflict_names,Expert review,anchor_group_idx,decision_auto,proposed_group_name_auto,cutoff,cluster_size,cluster_member_idx,cluster_member_name,reviewer_final_group_name,cui,member_name
73,1937,"acute myeloid leukemia, t(15;17)(q24;q21)",missing,,no,22538.0,pending,name decided later,0.98,26.0,20385|20990|20991|22537|22538|22539|22540|22541|22542|22543|22544|22545|22546|22547|22548|22558|22559|22560|22562|22563|22569|22570|22571|22572|23054|23055,"acute myeloid leukemia, t(15;17)(q24;q21) [+ 25 others]",,not found,"acute myeloid leukemia, t(15;17)(q24;q21) [+ 25 others]"
74,1938,"acute myeloid leukemia, t(v;11q23.3)",missing,,no,22549.0,pending,name decided later,0.98,6.0,20991|22540|22545|22547|22549|22563,"acute myeloid leukemia with t(9;11)(p22;q23) || acute myeloid leukemia, t(10;11)(p12;q23) || acute myeloid leukemia, t(6;9)(p23;q34.1) || acute myeloid leukemia, t(11;19)(q23;p13.1) || acute myeloid leukemia, t(v;11q23.3) || acute myeloid leukemia, t(3;12)(q23;p12.3)",,C2919692,acute myeloid leukemia with t(9;11)(p22;q23)
74,1938,"acute myeloid leukemia, t(v;11q23.3)",missing,,no,22549.0,pending,name decided later,0.98,6.0,20991|22540|22545|22547|22549|22563,"acute myeloid leukemia with t(9;11)(p22;q23) || acute myeloid leukemia, t(10;11)(p12;q23) || acute myeloid leukemia, t(6;9)(p23;q34.1) || acute myeloid leukemia, t(11;19)(q23;p13.1) || acute myeloid leukemia, t(v;11q23.3) || acute myeloid leukemia, t(3;12)(q23;p12.3)",,not found,"acute myeloid leukemia, t(10;11)(p12;q23)"
74,1938,"acute myeloid leukemia, t(v;11q23.3)",missing,,no,22549.0,pending,name decided later,0.98,6.0,20991|22540|22545|22547|22549|22563,"acute myeloid leukemia with t(9;11)(p22;q23) || acute myeloid leukemia, t(10;11)(p12;q23) || acute myeloid leukemia, t(6;9)(p23;q34.1) || acute myeloid leukemia, t(11;19)(q23;p13.1) || acute myeloid leukemia, t(v;11q23.3) || acute myeloid leukemia, t(3;12)(q23;p12.3)",,not found,"acute myeloid leukemia, t(6;9)(p23;q34.1)"
74,1938,"acute myeloid leukemia, t(v;11q23.3)",missing,,no,22549.0,pending,name decided later,0.98,6.0,20991|22540|22545|22547|22549|22563,"acute myeloid leukemia with t(9;11)(p22;q23) || acute myeloid leukemia, t(10;11)(p12;q23) || acute myeloid leukemia, t(6;9)(p23;q34.1) || acute myeloid leukemia, t(11;19)(q23;p13.1) || acute myeloid leukemia, t(v;11q23.3) || acute myeloid leukemia, t(3;12)(q23;p12.3)",,not found,"acute myeloid leukemia, t(11;19)(q23;p13.1)"
74,1938,"acute myeloid leukemia, t(v;11q23.3)",missing,,no,22549.0,pending,name decided later,0.98,6.0,20991|22540|22545|22547|22549|22563,"acute myeloid leukemia with t(9;11)(p22;q23) || acute myeloid leukemia, t(10;11)(p12;q23) || acute myeloid leukemia, t(6;9)(p23;q34.1) || acute myeloid leukemia, t(11;19)(q23;p13.1) || acute myeloid leukemia, t(v;11q23.3) || acute myeloid leukemia, t(3;12)(q23;p12.3)",,not found,"acute myeloid leukemia, t(v;11q23.3)"
74,1938,"acute myeloid leukemia, t(v;11q23.3)",missing,,no,22549.0,pending,name decided later,0.98,6.0,20991|22540|22545|22547|22549|22563,"acute myeloid leukemia with t(9;11)(p22;q23) || acute myeloid leukemia, t(10;11)(p12;q23) || acute myeloid leukemia, t(6;9)(p23;q34.1) || acute myeloid leukemia, t(11;19)(q23;p13.1) || acute myeloid leukemia, t(v;11q23.3) || acute myeloid leukemia, t(3;12)(q23;p12.3)",,not found,"acute myeloid leukemia, t(3;12)(q23;p12.3)"
75,1941,"acute myeloid leukemia, t(2;12)",missing,,no,22554.0,pending,name decided later,0.98,4.0,22554|22555|22556|22557,"acute myeloid leukemia, t(2;12)",,not found,"acute myeloid leukemia, t(2;12)"
76,1941,"acute myeloid leukemia, t(2;12)",missing,,no,22554.0,pending,name decided later,0.98,4.0,22554|22555|22556|22557,"acute myeloid leukemia, t(11;17)",,C2825129,"acute myeloid leukemia, t(11;17)"
77,1941,"acute myeloid leukemia, t(2;12)",missing,,no,22554.0,pending,name decided later,0.98,4.0,22554|22555|22556|22557,"acute myeloid leukemia, t(8;16)",,C4511003,"acute myeloid leukemia, t(8;16)"
78,1941,"acute myeloid leukemia, t(2;12)",missing,,no,22554.0,pending,name decided later,0.98,4.0,22554|22555|22556|22557,"acute myeloid leukemia, t(1;22)",,C4706584,"acute myeloid leukemia, t(1;22)"
