,entity_name,original_entity_types,PMID,relation,entity_side
779,glioblastoma stem-like cells fitness,,,,
780,glioblastoma stem-like cells viability,,,,
781,glucocerbrosi-dase 2,protein/gene,38302739,drug_protein,2
783,glucosyl ceramide synthase,protein/gene,35140266,drug_protein,2
787,glucosylceramide synthase competitive inhibitor,phenotype,37480097,drug_effect,2
792,glutamatergic/gabaergic/glycinergic neurons,,,,
793,glycolipid and cholesterol trafficking,biological_process,35086560,bioprocess_protein,1
796,glycosphingolipid accumulation,phenotype,35007562|36325261|40436106,disease_phenotype_positive|drug_effect,2
797,glycosphingolipid levels,phenotype,36455410,drug_effect,2
798,glycosphingolipid synthesis inhibitor,biological_process,36638187,drug_bioprocess,2
799,glycosphingolipid synthesis mutants,,,,
800,glycosphingolipid-dependent neurotransmission,,,,
803,glycosphingolipids accumulation,,,,
805,glycosylates glccer to maccer,,,,
806,glycosylates mannosyl glucosylceramide,biological_process,37815467,bioprocess_protein,2
811,grey matter loss in the thalami,phenotype,37612148,disease_phenotype_positive,2
812,grmzm2g083176,,,,
814,gsh depletion,,,,
816,h3k27 demethylase inhibitor,,,,
817,h3k27 demethylases,,,,
818,head and upper body movements,phenotype,34096670,disease_phenotype_positive,2
825,heat shock response 70,protein/gene,34418116,protein_protein,1
827,hedgehog-dependent neuroprotective factor production,,,,
828,heightened neurodegeneration,phenotype,37815467,phenotype_protein,2
829,heightened neuronal death,phenotype,37815467,phenotype_protein,2
832,hepatic and neuronal disorders,phenotype,36116252,drug_effect,2
839,hepatic symtoms,phenotype,39789920,disease_phenotype_positive,2
840,hepatocyte-like cells,anatomy,34830064,anatomy_disease,1
842,hereditary ataxic disorders,phenotype,35192242,disease_phenotype_positive,2
