,entity_name,original_entity_types,search_term_used,umls_matched_name,matched_cui,matched_semantic_types,matched_semantic_type_names,PMID,relation,entity_side
610,elevated levels of lipid peroxidation,phenotype,elevated levels of lipid peroxidation,,,[],[],40243519,disease_phenotype_positive,2
611,elevated levels of reactive oxygen species,phenotype,elevated levels of reactive oxygen species,,,[],[],38550777,phenotype_protein,2
612,elevated liver enzymes,phenotype,elevated liver enzymes,"Elevated liver enzymes, mild",C5775630,['T033'],['Finding'],35016719,disease_phenotype_positive,2
613,elevated liver transaminases,phenotype,elevated liver transaminases,Elevated circulating hepatic transaminase concentration,C0235996,['T033'],['Finding'],39547438,disease_phenotype_positive,2
614,elevated lysosphingomyelin 509,phenotype,elevated lysosphingomyelin 509,,,[],[],35892469,disease_phenotype_positive,2
615,elevated mitochondrial calcium,phenotype,elevated mitochondrial calcium,elevation of calcium ion concentration in mitochondrion,C5887225,['T043'],['Cell Function'],37507375,pathology_phenotype,2
616,elevated myristic,phenotype,elevated myristic,,,[],[],40306479,phenotype_protein,1
617,elevated myristic acid,phenotype,elevated myristic acid,,,[],[],40306479,phenotype_protein,1
618,elevated n-palmitoyl-o-phosphocholineserine,,elevated n-palmitoyl-o-phosphocholineserine,,,[],[],,,
619,elevated neurotransmission,phenotype,elevated neurotransmission,,,[],[],37815467,drug_effect|phenotype_phenotype,2
620,elevated oxysterols,anatomy | phenotype,elevated oxysterols,,,[],[],36325261,disease_phenotype_positive|phenotype_protein,1|2
621,elevated palmitoleic acid,phenotype,elevated palmitoleic acid,,,[],[],40306479,phenotype_protein,1
622,elevated plasma oxysterols,phenotype,elevated plasma oxysterols,,,[],[],36719165,disease_phenotype_positive,2
623,elevation of alkyl-lysophosphatidylcholine species,phenotype,elevation of alkyl-lysophosphatidylcholine species,,,[],[],39048052,disease_phenotype_positive,2
624,elevations in glucosylceramide isoforms,phenotype,elevations in glucosylceramide isoforms,,,[],[],37373322,disease_phenotype_positive,2
625,elevations in mitochondrial caltrium,phenotype,elevations in mitochondrial caltrium,,,[],[],37507375,phenotype_phenotype,1
626,eleveted neurofilament light chain levels,,eleveted neurofilament light chain levels,,,[],[],,,
627,emaciated,phenotype,emaciated,Emaciation,C0013911,['T184'],['Sign or Symptom'],38826605,disease_phenotype_positive,2
628,embryonic lethality,phenotype,embryonic lethality,Preimplantation lethality,C5139371,['T033'],['Finding'],35695805,disease_protein,1
629,endo-lysosomal network,cellular_component,endo-lysosomal network,,,[],[],40026274,cellcomp_protein,1|2
630,endo-lysosomal trafficking pathway,pathway,endo-lysosomal trafficking pathway,,,[],[],39747180,pathway_protein,1
631,endo-lysosomes,cellular_component,endo-lysosomes,,,[],[],38599016,phenotype_cellcomp,2
632,endolysosomal,cellular_component,endolysosomal,endolysosome membrane,C3271505,['T026'],['Cell Component'],40064165,cellcomp_protein,2
633,endolysosomal accumulation of the lipid,phenotype,endolysosomal accumulation of the lipid,,,[],[],39443481,disease_phenotype_positive,2
634,endolysosomal accumulation of unesterified cholesterol,pathology,endolysosomal accumulation of unesterified cholesterol,,,[],[],36064725,disease_phenotype_positive,2
635,endolysosomal comparment,cellular_component,endolysosomal comparment,,,[],[],38142760,phenotype_cellcomp,2
636,endolysosomal compartment,cellular_component,endolysosomal compartment,,,[],[],35452076|38087834,cellcomp_protein,1
637,endolysosomal storage of unesterified cholesterol,phenotype,endolysosomal storage of unesterified cholesterol,,,[],[],34802899|40525490,disease_phenotype_positive,2
638,endolysosomal transmembrane,cellular_component,endolysosomal transmembrane,,,[],[],37047194,cellcomp_disease,1
639,endoplasmic reticulum ca++ release channels,,endoplasmic reticulum ca++ release channels,,,[],[],,,
640,endoreduplication,biological_process,endoreduplication,Endoreduplication,C0333688,['T049'],['Cell or Molecular Dysfunction'],35245460,bioprocess_protein,2
641,endosomal transportautophagy abnormalities,phenotype,endosomal transportautophagy abnormalities,,,[],[],40003936,disease_phenotype_positive,2
642,endosomal-lysosomal system,,endosomal-lysosomal system,,,[],[],,,
643,endosomes,cellular_component,endosomes,Endosomes,C0034850,['T026'],['Cell Component'],36584173,exposure_cellcomp,2
644,engulf mitochondria in autophagosomes,biological_process,engulf mitochondria in autophagosomes,,,[],[],35159316,drug_bioprocess,2
645,engulfment,biological_process,engulfment,Cytologic engulfment,C0545024,['T049'],['Cell or Molecular Dysfunction'],36322609,bioprocess_protein,2
646,enhance calcium entry,phenotype,enhance calcium entry,,,[],[],37507375,pathology_phenotype,2
647,enhanced autophagy-dependent ferritinophagy,,enhanced autophagy-dependent ferritinophagy,,,[],[],,,
648,enhanced bace1-mediated proteolysis,,enhanced bace1-mediated proteolysis,,,[],[],,,
649,enhanced ca2+ signaling,,enhanced ca2+ signaling,,,[],[],,,
650,enhanced mglur-dependent long-term depression (mglur-ltd),,enhanced mglur-dependent long-term depression (mglur-ltd),,,[],[],,,
651,enhanced phagocytosis,,enhanced phagocytosis,,,[],[],,,
652,enhanced the onset of the neurological phenotype,phenotype,enhanced the onset of the neurological phenotype,,,[],[],37369603,phenotype_phenotype,1
653,enhanced the survival of purkinje cells,,enhanced the survival of purkinje cells,,,[],[],,,
