,entity_name,original_entity_types,PMID,relation,entity_side
333,decline in cognitive and motor capacities,phenotype,35627432,disease_phenotype_positive,2
334,decline in memory,phenotype,35627432,disease_phenotype_positive,2
335,declined sit-to-stand performance,phenotype,39762319,drug_effect,2
336,decreased bis(monoacylglycero)phosphate species,phenotype,38195117,disease_phenotype_positive,2
337,decreased cell viability,phenotype,35241513,phenotype_protein,1
338,decreased chloride permeability,phenotype,34910516,phenotype_protein,1
339,decreased grey matter volume,phenotype,36632184,disease_phenotype_positive,2
340,decreased in lipid droplets,phenotype,35681535,drug_effect,2
341,decreased in the dimensions of the lipid droplet-like structures,phenotype,35681535,drug_effect,2
344,decreased lysosomal bis(monoacylglycero)phosphate,biological_process,39080379,bioprocess_bioprocess,2
345,decreased myofibril nuclei,cellular_component,40702562,anatomy_protein_present,2
346,decreased seizure frequency,phenotype,36324638,drug_effect,2
347,decreased synapse density,phenotype,35358180,disease_phenotype_positive,2
349,decreased the number of lipid droplet-like structures,phenotype,35681535,drug_effect,2
350,decreased visual tracking,phenotype,35427439,disease_phenotype_positive,2
351,decreased volumes of basal ganglia,phenotype,35699772,phenotype_phenotype,2
352,decreased volumes of cerebellar gray matter,phenotype,35699772,phenotype_phenotype,2
353,decreased volumes of hippocampus,phenotype,35699772,phenotype_phenotype,2
354,decreased volumes of supratentorial cortical gray matter volume,phenotype,35699772,phenotype_phenotype,2
355,decreased volumes of supratentorial white matter,phenotype,35699772,phenotype_phenotype,2
356,decreased volumes of thalamus,phenotype,35699772,phenotype_phenotype,2
357,decreasing cortical thicknesses,phenotype,35404973,disease_phenotype_positive,2
358,decreasing intracranial volumes,phenotype,35404973,disease_phenotype_positive,2
359,defect in photoreceptor to bipolar cell synaptic connectivity,phenotype,36374771,disease_phenotype_positive,2
360,defected lipid droplet formation in microglia,phenotype,39438652,phenotype_protein,2
361,defective autophagic flow,phenotype,36347423,disease_phenotype_positive,2
362,defective autophagic lysosomal reformation,biological_process,37400440,bioprocess_protein,1
364,defective phagocytosis of photoreceptor outer segments,biological_process,38895469,bioprocess_protein,2
365,defective protein degradation,phenotype,38049626,disease_phenotype_positive,2
370,degradation of unfolded or abnormal intracellular proteins,biological_process,34331747,bioprocess_protein,2
371,degrading cysteine residues,biological_process,36088080,bioprocess_protein,1
373,delayed functional decline,phenotype,37059438,drug_effect,2
377,dementia in children,phenotype,36833170,disease_phenotype_positive,2
382,deposition of ceroid lipopigment,phenotype,35356463,disease_phenotype_positive,2
383,deposition of light-brown pigments,pathology,34679057,pathology_anatomy_present,1
384,destabilize the protein structure,phenotype,36088080,phenotype_protein,1
385,deteriorating heart function,phenotype,35356463,disease_phenotype_positive,2
387,diffuse acanthocytes,phenotype,35917699,disease_phenotype_positive,2
388,diffuse neurodegeneration,phenotype,34491000,disease_phenotype_positive,2
389,diminished neuronal loss,phenotype,36040802,exposure_phenotype,2
392,disrupt the alpha helix,phenotype,36088080,phenotype_protein,1
393,disrupted calcium homeostasis,biological_process,40346285,bioprocess_protein,2
401,disturbed autophagic flow,phenotype,34214607,disease_phenotype_positive,2
404,disturbed somatosensory modulation,phenotype,37771451,phenotype_phenotype,1
412,downregulation of proteins related to axon guidance,phenotype,36453132,disease_phenotype_positive,2
413,downregulation of proteins related to endocytosis,phenotype,36453132,disease_phenotype_positive,2
415,dysfucntional lipid metabolism,biological_process,37708259,bioprocess_protein,2
418,early loss of cone function,phenotype,36374771,disease_phenotype_positive,2
419,early loss of rod function,phenotype,36374771,disease_phenotype_positive,2
422,early-stage neuroinflammation,phenotype,39438652,disease_phenotype_positive,2
425,elevated glycerophosphoinositol,protein/gene,40628808,anatomy_protein_present|bioprocess_protein,1|2
429,endo components,protein/gene,35358180,protein_protein,2
431,endolysosomal chloride channel,molecular_function,34910516,molfunc_protein,1
432,endolysosomal chloride currents,biological_process,34910516,bioprocess_protein,2
433,endoplasmic reticulum non-glycosylated transmembrain,protein/gene,34868216,protein_protein,2
435,enhanced cell adhesion,phenotype,39154552,drug_effect,2
436,enhanced hippocampal γ oscillation,phenotype,39284877,drug_effect,2
